gene,set,immune_beta_unadj,immune_p_unadj,immune_beta_adj,immune_p_adj,CYT_beta_adj,CYT_p_adj,melanocyte_lineage
WNT10A,background,0.3290488131305143,1.9680512833220598e-264,0.3280723214194129,1.4715984282892712e-260,0.2260585802227882,1.2355109972128158e-117,False
KRT223P,background,0.09827999543140045,4.974165034759696e-24,0.0970328774368576,2.8267915784769326e-23,0.05273687621963039,1.6241460988153977e-07,False
RPL26P28,background,0.0485711172919043,3.7873820684583997e-07,0.04884291297950991,3.6483236326429145e-07,0.026716316695205047,0.0074693342501241855,False
RPL23AP50,background,0.004524938131555971,0.6423858739902792,0.005399254802269217,0.5811404598451466,0.007815514049677806,0.4366055754617083,False
FAM162A,background,-0.14864228899757312,4.1693808052895573e-53,-0.14990586284831975,1.5137432673120132e-53,-0.10924357172911649,1.8203181445387145e-28,False
LINC02950,background,-0.012641498798152687,0.1945068018603161,-0.013815406151520755,0.1580158950866269,-0.052850885762145264,1.9376662465487455e-07,False
HSPA7,background,0.46396145008217915,0.0,0.46309560192536514,0.0,0.31214690699502257,7.389878526404987e-230,False
LOC124900236,background,2.5849394142282115e-25,1.0,-4.722942803736365e-22,0.0,1.052070341590882e-21,0.0,False
SLC52A3,background,0.03262685376243348,0.0008105686600901262,0.03299450023436082,0.000745115761776806,-0.021369410031091343,0.03202800567992025,False
CAB39,background,0.23890018355679848,1.295931949279925e-136,0.23993861978286174,1.1615039829347607e-136,0.1089300845579599,1.6060508920403072e-28,False
ANAPC13P1,background,0.005495984385173404,0.45313047332797507,0.005857914441060466,0.4249493409514674,0.0029374465457888024,0.6803756937139276,False
SPART-AS1,background,0.01395095592219752,0.1522125268197335,0.014716706537209193,0.13261011842367518,0.0020164673880226506,0.8409656236119281,False
STX2,background,0.24336877596856904,7.441157868010857e-142,0.24450363788293236,5.368456899453937e-142,0.15231320038140309,1.515296565800576e-53,False
TERC,background,-0.0477937674686469,9.222170016256849e-07,-0.04722634677738906,1.3759647961593998e-06,-0.04570804871208159,5.5794128108900105e-06,False
CYP2B6,background,-0.026972402475328162,0.0056315830846879475,-0.027326978247404127,0.005223910886282407,-0.05051576339662697,4.935030050366229e-07,False
RPL37,background,-0.10801687549194697,1.030442828863372e-28,-0.11011106721485965,1.5408734213231257e-29,-0.053099443779147125,7.609808880735367e-08,False
MIR938,background,2.5849394142282115e-25,1.0,-4.722942803736365e-22,0.0,1.052070341590882e-21,0.0,False
LINC01151,background,0.02827499342207837,0.0033863417378114436,0.02781630851241892,0.004097536294411814,0.012001844621490744,0.2327917073909977,False
OR51F2,background,-0.025824449401290767,0.007204732579429337,-0.02455629469192152,0.010944109254135335,-0.026301682869044805,0.007495343873584193,False
